order_id,order_date,ship_date,year,month,quarter,week,season,customer_id,customer_type,customer_age_group,customer_gender,loyalty_status,customer_lifetime_value,product_id,product_name,category,sub_category,brand,product_condition,quantity,unit_price,discount,shipping_method,shipping_cost,total_sales,cost_price,profit,profit_margin,revenue_target,target_achievement_pct,region,city,warehouse,segment,sales_channel,marketing_source,salesperson_id,sales_team,commission,payment_mode,order_status,return_flag,delivery_time_days,customer_rating,customer_type_flag,profit_category,sales_person
ORD-10000,21-12-2024,27-12-2024,2024,December,4,51,Winter,CUST-900,Corporate,18-25,Other,Bronze,3119,PROD-PAP-440,Levis Paper,Office Supplies,Paper,Levis,New,1,56.72,0.05,Standard,46.99,53.88,22.69,-15.8,-0.2932,53.54,1.0064,South,Dallas,WH-Gamma,Consumer,Mobile App,Direct,SP-147,Team Alpha,0,PayPal,Delivered,No,6,2,2,Loss,Donna Paulsen
ORD-10001,04-07-2025,09-07-2025,2025,July,3,27,Summer,CUST-348,Individual,36-50,Female,Platinum,2696,PROD-WAT-161,Nike Watches,Accessories,Watches,Nike,New,13,164.94,0.1,Overnight,26.95,1929.8,115.46,401.87,0.2082,1917.78,1.0063,West,Los Angeles,WH-Gamma,Consumer,Online,Social Media,SP-123,Team Alpha,20.09,Credit Card,Delivered,No,5,3,1,Medium,Jane Smith
ORD-10002,01-03-2023,03-03-2023,2023,March,1,9,Spring,CUST-433,Individual,18-25,Male,Silver,3966,PROD-HEA-364,Samsung Headphones,Electronics,Headphones,Samsung,New,7,530.5,0.05,Overnight,33.3,3527.82,371.35,895.07,0.2537,3505.84,1.0063,South,Miami,WH-Alpha,Consumer,Online,Social Media,SP-124,Team Gamma,44.75,Debit Card,Delivered,No,2,5,1,High,Donna Paulsen
ORD-10003,24-11-2023,28-11-2023,2023,November,4,47,Fall,CUST-485,Small Business,26-35,Male,Platinum,2406,PROD-PEN-932,Samsung Pens,Office Supplies,Pens,Samsung,Refurbished,10,53.14,0.1,Standard,33.9,478.26,21.26,231.76,0.4846,475.28,1.0063,South,Atlanta,WH-Gamma,Home Office,In-store,Email,SP-131,Team Beta,11.59,Cash,Delivered,No,4,1,3,Medium,Jane Smith
ORD-10004,09-08-2025,13-08-2025,2025,August,3,32,Summer,CUST-387,Small Business,18-25,Male,Platinum,2221,PROD-CHA-371,Apple Chairs,Furniture,Chairs,Apple,Refurbished,1,333.07,0,Overnight,27.72,333.07,233.15,72.2,0.2168,330.99,1.0063,East,Philadelphia,WH-Alpha,Home Office,Mobile App,Direct,SP-119,Team Alpha,3.61,Debit Card,Delivered,No,4,3,3,Medium,Donna Paulsen
ORD-10005,08-12-2023,12-12-2023,2023,December,4,49,Winter,CUST-936,Individual,36-50,Male,Silver,4191,PROD-CHA-282,HP Chairs,Furniture,Chairs,HP,Refurbished,4,316.58,0,Express,11.39,1266.32,221.61,368.49,0.291,1258.43,1.0063,East,Philadelphia,WH-Alpha,Corporate,Online,Direct,SP-141,Team Alpha,18.42,Credit Card,Delivered,No,4,2,1,,Mike Ross
ORD-10006,08-04-2025,11-04-2025,2025,April,2,15,Spring,CUST-904,Individual,50+,Other,Bronze,2316,PROD-SHI-551,Samsung Shirts,Clothing,Shirts,Samsung,New,11,90.85,0,Express,38.83,999.35,63.59,261.03,0.2612,993.12,1.0063,East,Baltimore,WH-Beta,Consumer,Online,Email,SP-137,Team Beta,13.05,Debit Card,Shipped,No,3,4,1,Medium,Jane Smith
ORD-10007,05-03-2023,07-03-2023,2023,March,1,9,Spring,CUST-502,Corporate,50+,Female,Gold,752,PROD-SOF-171,Dell Sofas,Furniture,Sofas,Dell,New,6,281.06,0,Standard,31.18,1686.36,196.74,474.74,0.2815,1675.85,1.0063,East,Philadelphia,WH-Beta,Home Office,In-store,Email,SP-104,Team Beta,23.74,Debit Card,Delivered,No,2,4,2,Medium,Harvey Specter
ORD-10008,24-06-2024,27-06-2024,2024,June,2,26,Summer,CUST-473,Small Business,50+,Female,Silver,4727,PROD-BEL-603,Samsung Belts,Accessories,Belts,Samsung,New,1,179.36,0,Overnight,10.34,179.36,125.55,43.47,0.2424,178.24,1.0063,East,Philadelphia,WH-Beta,Home Office,Online,Email,SP-126,Team Alpha,2.17,Cash,Delivered,No,3,3,3,Medium,Donna Paulsen
ORD-10009,04-05-2024,07-05-2024,2024,May,2,18,Spring,CUST-216,Corporate,18-25,Other,Gold,4019,PROD-BED-305,IKEA Beds,Furniture,Beds,IKEA,New,9,263.58,0,Standard,36.51,2372.22,184.51,675.12,0.2846,2357.44,1.0063,West,Seattle,WH-Gamma,Consumer,In-store,Direct,SP-102,Team Alpha,33.76,Debit Card,Shipped,No,3,5,2,High,Harvey Specter
ORD-10010,22-02-2025,28-02-2025,2025,February,1,8,Winter,CUST-677,Corporate,26-35,Male,Bronze,2407,PROD-SOF-724,Apple Sofas,Furniture,Sofas,Apple,New,7,307.3,0.3,Overnight,36.62,1505.77,215.11,-36.62,-0.0243,1496.39,1.0063,South,Dallas,WH-Alpha,Home Office,Online,Direct,SP-107,Team Beta,0,Cash,Returned,Yes,6,2,2,Loss,Donna Paulsen
ORD-10011,24-05-2024,27-05-2024,2024,May,2,21,Spring,CUST-304,Corporate,18-25,Female,Platinum,2410,PROD-SOF-502,Dell Sofas,Furniture,Sofas,Dell,Refurbished,5,341.15,0,Standard,29.68,1705.75,238.8,482.07,0.2826,1695.12,1.0063,North,Boston,WH-Gamma,Home Office,In-store,Social Media,SP-124,Team Beta,24.1,Credit Card,Delivered,No,3,2,2,Medium,Rachel Zane
ORD-10012,18-09-2024,25-09-2024,2024,September,3,38,Fall,CUST-706,Individual,50+,Female,Gold,3021,PROD-STO-282,Nike Storage,Office Supplies,Storage,Nike,New,8,51.73,0,Standard,9.07,413.84,20.69,239.25,0.5781,411.26,1.0063,West,Seattle,WH-Alpha,Home Office,In-store,Direct,SP-136,Team Alpha,11.96,Cash,Shipped,No,7,5,1,Medium,Donna Paulsen
ORD-10013,03-06-2023,08-06-2023,2023,June,2,22,Summer,CUST-658,Corporate,36-50,Other,Bronze,4349,PROD-SHI-760,Levis Shirts,Clothing,Shirts,Levis,New,7,94.89,0.15,Standard,20.87,564.6,66.42,78.79,0.1396,561.08,1.0063,North,Chicago,WH-Gamma,Corporate,Mobile App,Search Engine,SP-110,Team Gamma,3.94,Debit Card,Delivered,No,5,5,2,Medium,John Doe
ORD-10014,19-01-2024,24-01-2024,2024,January,1,3,Winter,CUST-284,Corporate,50+,Male,Bronze,1558,PROD-SMA-603,Apple Smartphones,Electronics,Smartphones,Apple,New,8,416.05,0.05,Express,7.29,3161.98,353.64,325.57,0.103,3142.28,1.0063,East,DC,WH-Alpha,Home Office,Mobile App,Search Engine,SP-112,Team Beta,16.28,Credit Card,Delivered,No,5,3,2,Medium,Donna Paulsen
ORD-10015,14-03-2025,15-03-2025,2025,March,1,11,Spring,CUST-798,Individual,36-50,Female,Platinum,4038,PROD-PAN-211,IKEA Pants,Clothing,Pants,IKEA,New,11,103.91,0.05,Overnight,26.49,1085.86,72.74,259.23,0.2387,1079.1,1.0063,South,Miami,WH-Beta,Consumer,Online,Email,SP-148,Team Alpha,12.96,PayPal,Shipped,No,1,3,1,Medium,Donna Paulsen
ORD-10016,02-12-2023,03-12-2023,2023,December,4,48,Winter,CUST-886,Small Business,26-35,Male,Platinum,2822,PROD-WAT-247,Adidas Watches,Accessories,Watches,Adidas,New,2,130.92,0.05,Overnight,45.79,248.75,91.64,19.68,0.0791,247.2,1.0063,East,DC,WH-Beta,Consumer,Mobile App,Email,SP-127,Team Alpha,0.98,PayPal,Returned,Yes,1,4,3,Medium,Mike Ross
ORD-10017,01-10-2025,03-10-2025,2025,October,4,40,Fall,CUST-663,Small Business,36-50,Female,Bronze,686,PROD-BIN-653,IKEA Binders,Office Supplies,Binders,IKEA,New,13,65.14,0.05,Express,5.1,804.48,26.06,460.6,0.5725,799.47,1.0063,West,Los Angeles,WH-Gamma,Consumer,Mobile App,Email,SP-116,Team Gamma,23.03,Credit Card,Delivered,No,2,4,3,Medium,Mike Ross
ORD-10018,03-02-2024,05-02-2024,2024,February,1,5,Winter,CUST-127,Corporate,18-25,Other,Bronze,1448,PROD-BIN-887,Sony Binders,Office Supplies,Binders,Sony,New,5,54.3,0,Express,17,271.5,21.72,145.9,0.5374,269.81,1.0063,North,Chicago,WH-Alpha,Home Office,Mobile App,Social Media,SP-149,Team Beta,7.3,Credit Card,Delivered,No,2,5,2,Medium,Rachel Zane
ORD-10019,07-05-2025,14-05-2025,2025,May,2,19,Spring,CUST-844,Individual,18-25,Male,Gold,2790,PROD-SOF-541,Sony Sofas,Furniture,Sofas,Sony,New,5,326.63,0,Overnight,40.99,1633.15,228.64,448.96,0.2749,1622.98,1.0063,South,Dallas,WH-Beta,Corporate,Online,Search Engine,SP-148,Team Alpha,22.45,Debit Card,Delivered,No,7,1,1,Medium,Rachel Zane
ORD-10020,08-05-2023,13-05-2023,2023,May,2,19,Spring,CUST-572,Small Business,18-25,Other,Bronze,4859,PROD-BED-323,Adidas Beds,Furniture,Beds,Adidas,New,4,292.32,0.2,Overnight,5.44,935.42,204.62,111.5,0.1192,929.59,1.0063,West,Los Angeles,WH-Alpha,Home Office,Online,Search Engine,SP-146,Team Gamma,5.58,PayPal,Delivered,No,5,1,3,Medium,Jane Smith
ORD-10021,17-11-2023,18-11-2023,2023,November,4,46,Fall,CUST-825,Corporate,36-50,Female,Bronze,709,PROD-WAT-728,Logitech Watches,Accessories,Watches,Logitech,New,6,126.6,0,Standard,5.46,759.6,88.62,222.42,0.2928,754.87,1.0063,West,San Francisco,WH-Gamma,Consumer,Mobile App,Direct,SP-122,Team Beta,11.12,Credit Card,Delivered,No,1,1,2,Medium,Rachel Zane
ORD-10022,20-08-2024,26-08-2024,2024,August,3,34,Summer,CUST-314,Corporate,18-25,Other,Gold,2593,PROD-PAP-758,Samsung Paper,Office Supplies,Paper,Samsung,Refurbished,6,45.33,0,Standard,32.49,271.98,18.13,130.71,0.4806,270.29,1.0063,South,Miami,WH-Beta,Corporate,Mobile App,Search Engine,SP-132,Team Gamma,6.54,PayPal,Delivered,No,6,2,2,Medium,Mike Ross
ORD-10023,01-06-2024,02-06-2024,2024,June,2,22,Summer,CUST-548,Individual,18-25,Other,Silver,4038,PROD-SMA-208,Levis Smartphones,Electronics,Smartphones,Levis,New,7,451.94,0.05,Overnight,40.51,3005.4,316.36,750.37,0.2497,2986.68,1.0063,South,Miami,WH-Gamma,Corporate,Online,Direct,SP-145,Team Alpha,37.52,PayPal,Delivered,No,1,3,1,High,John Doe
ORD-10024,18-03-2024,21-03-2024,2024,March,1,12,Spring,CUST-916,Corporate,18-25,Other,Gold,2063,PROD-SHI-552,HP Shirts,Clothing,Shirts,HP,New,3,99.47,0,Overnight,39.94,298.41,69.63,49.58,0.1661,296.55,1.0063,West,San Francisco,WH-Gamma,Home Office,Mobile App,Social Media,SP-131,Team Gamma,2.48,Debit Card,Delivered,No,3,5,2,Medium,Donna Paulsen
ORD-10025,07-09-2025,11-09-2025,2025,September,3,36,Fall,CUST-398,Small Business,26-35,Female,Gold,525,PROD-PEN-832,HP Pens,Office Supplies,Pens,HP,Refurbished,10,54.14,0.05,Standard,40.08,514.33,21.66,257.65,0.5009,511.13,1.0063,North,Chicago,WH-Alpha,Consumer,In-store,Email,SP-140,Team Alpha,12.88,Credit Card,Shipped,No,4,4,3,Medium,John Doe
ORD-10026,23-11-2025,29-11-2025,2025,November,4,47,Fall,CUST-951,Individual,36-50,Male,Platinum,674,PROD-LAP-365,Levis Laptops,Electronics,Laptops,Levis,New,10,535.35,0.15,Express,21.25,4550.47,374.75,781.72,0.1718,4522.12,1.0063,North,New York,WH-Gamma,Home Office,Online,Email,SP-144,Team Alpha,39.09,Cash,Delivered,No,6,1,1,High,Mike Ross
ORD-10027,21-11-2024,25-11-2024,2024,November,4,47,Fall,CUST-809,Small Business,36-50,Other,Gold,1834,PROD-TAB-205,IKEA Tablets,Electronics,Tablets,IKEA,New,13,499.2,0.2,Overnight,44.72,5191.68,349.44,604.24,0.1164,5159.34,1.0063,West,San Francisco,WH-Gamma,Consumer,Online,Direct,SP-123,Team Gamma,30.21,Credit Card,Delivered,No,4,4,3,High,Jane Smith
ORD-10028,23-03-2023,27-03-2023,2023,March,1,12,Spring,CUST-170,Small Business,50+,Male,Bronze,821,PROD-JAC-135,Adidas Jackets,Clothing,Jackets,Adidas,New,8,119.48,0.15,Overnight,5.58,812.46,83.64,137.76,0.1696,807.4,1.0063,West,Los Angeles,WH-Alpha,Corporate,In-store,Affiliate,SP-144,Team Gamma,6.89,PayPal,Returned,Yes,4,3,3,Medium,John Doe
ORD-10029,18-05-2023,23-05-2023,2023,May,2,20,Spring,CUST-938,Small Business,36-50,Female,Bronze,4650,PROD-HEA-174,Adidas Headphones,Electronics,Headphones,Adidas,Refurbished,3,459.67,0,Express,19.05,1379.01,321.77,394.65,0.2862,1370.42,1.0063,East,Baltimore,WH-Alpha,Home Office,Mobile App,Direct,SP-103,Team Alpha,19.73,Cash,Delivered,No,5,5,3,Medium,Donna Paulsen
ORD-10030,14-04-2024,18-04-2024,2024,April,2,15,Spring,CUST-968,Corporate,26-35,Male,Bronze,4547,PROD-WAL-172,Nike Wallets,Accessories,Wallets,Nike,New,9,156.92,0.3,Express,20.17,988.6,109.84,-20.13,-0.0204,982.44,1.0063,East,DC,WH-Gamma,Corporate,In-store,Social Media,SP-141,Team Gamma,0,Cash,Shipped,No,4,1,2,,Donna Paulsen
ORD-10031,08-05-2025,12-05-2025,2025,May,2,19,Spring,CUST-914,Corporate,36-50,Other,Silver,3727,PROD-SMA-685,Apple Smartphones,Electronics,Smartphones,Apple,New,11,492.69,0,Express,12.45,5419.59,418.79,800.45,0.1477,5385.83,1.0063,North,Chicago,WH-Beta,Consumer,Mobile App,Search Engine,SP-124,Team Beta,40.02,PayPal,Delivered,No,4,1,2,High,John Doe
ORD-10032,15-06-2024,18-06-2024,2024,June,2,24,Summer,CUST-914,Small Business,26-35,Other,Bronze,2372,PROD-WAL-845,Dell Wallets,Accessories,Wallets,Dell,New,1,148,0,Overnight,20.13,148,103.6,24.27,0.164,147.08,1.0063,East,Philadelphia,WH-Beta,Corporate,Mobile App,Direct,SP-127,Team Beta,1.21,Cash,Delivered,No,3,5,3,Medium,Jane Smith
ORD-10033,19-10-2023,21-10-2023,2023,October,4,42,Fall,CUST-518,Small Business,26-35,Other,Silver,2567,PROD-TAB-356,Sony Tablets,Electronics,Tablets,Sony,New,3,440.01,0.05,Overnight,31.36,1254.03,308.01,298.64,0.2381,1246.22,1.0063,North,Boston,WH-Alpha,Corporate,Online,Social Media,SP-147,Team Gamma,14.93,Cash,Delivered,No,2,4,3,Medium,John Doe
ORD-10034,09-12-2023,16-12-2023,2023,December,4,49,Winter,CUST-789,Individual,36-50,Other,Bronze,832,PROD-TAB-895,HP Tables,Furniture,Tables,HP,Refurbished,2,306.98,0.1,Overnight,28.41,552.56,214.89,94.37,0.1708,549.12,1.0063,South,Atlanta,WH-Gamma,Corporate,Online,Email,SP-115,Team Gamma,4.72,Credit Card,Delivered,No,7,3,1,Medium,Harvey Specter
